step,sim_time_sec,scenario_id,run_id,random_seed,wci,workload_intensity_cw,resource_allocation_cores,decision,action,prev_cores,prev_batch_size,prev_cpu_util,prev_vr,updated_cores,updated_batch_size,overhead_cost_sec,trigger_reason
0,0,S1,1,1001,0.2075,0.19033710033310458,6,TRIGGER_ADAPTATION,SCALE_UP,4,32,20.695728372712434,0.2606224840983084,6,32,1.25,High complexity (WCI=0.21 >= 0.65) or CPU saturation (20.7% >= 0.82%)
4,5.31,S1,1,1001,0.1916,0.19676843389828316,8,TRIGGER_ADAPTATION,SCALE_UP,6,32,8.872667830119646,0.14146148608384848,8,32,1.25,High complexity (WCI=0.19 >= 0.65) or CPU saturation (8.9% >= 0.82%)
8,10.62,S1,1,1001,0.2014,0.2257128709909766,10,TRIGGER_ADAPTATION,SCALE_UP,8,32,10.088440144264776,0.17217193215654752,10,32,1.25,High complexity (WCI=0.20 >= 0.65) or CPU saturation (10.1% >= 0.82%)
12,15.93,S1,1,1001,0.2219,0.27471071393708,12,TRIGGER_ADAPTATION,SCALE_UP,10,32,7.820431640085217,0.16877741361260543,12,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (7.8% >= 0.82%)
16,21.24,S1,1,1001,0.2049,0.20646999039261413,14,TRIGGER_ADAPTATION,SCALE_UP,12,32,5,0.20398086205405253,14,32,1.25,High complexity (WCI=0.20 >= 0.65) or CPU saturation (5.0% >= 0.82%)
20,26.55,S1,1,1001,0.2102,0.2097806144190044,16,TRIGGER_ADAPTATION,SCALE_UP,14,32,5,0.18595522031833084,16,32,1.25,High complexity (WCI=0.21 >= 0.65) or CPU saturation (5.0% >= 0.82%)
0,0,S1,2,1002,0.2237,0.24741330783509244,6,TRIGGER_ADAPTATION,SCALE_UP,4,32,10.999366766881364,0.23736650670709214,6,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (11.0% >= 0.82%)
4,5.31,S1,2,1002,0.2146,0.24303579837533104,8,TRIGGER_ADAPTATION,SCALE_UP,6,32,8.894047175515537,0.1260592828260401,8,32,1.25,High complexity (WCI=0.21 >= 0.65) or CPU saturation (8.9% >= 0.82%)
8,10.62,S1,2,1002,0.2026,0.19155354475758388,10,TRIGGER_ADAPTATION,SCALE_UP,8,32,9.72103114906393,0.15673717524485245,10,32,1.25,High complexity (WCI=0.20 >= 0.65) or CPU saturation (9.7% >= 0.82%)
12,15.93,S1,2,1002,0.2237,0.21331146152790892,12,TRIGGER_ADAPTATION,SCALE_UP,10,32,7.521750367968931,0.21076799232693472,12,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (7.5% >= 0.82%)
16,21.24,S1,2,1002,0.1929,0.21245799913653618,14,TRIGGER_ADAPTATION,SCALE_UP,12,32,5.601642479593465,0.14902543188546769,14,32,1.25,High complexity (WCI=0.19 >= 0.65) or CPU saturation (5.6% >= 0.82%)
20,26.55,S1,2,1002,0.2266,0.25762322726283493,16,TRIGGER_ADAPTATION,SCALE_UP,14,32,8.548654902579043,0.138487359220763,16,32,1.25,High complexity (WCI=0.23 >= 0.65) or CPU saturation (8.5% >= 0.82%)
0,0,S1,3,1003,0.2195,0.19964537044108743,6,TRIGGER_ADAPTATION,SCALE_UP,4,32,18.186829318784646,0.23857792109516662,6,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (18.2% >= 0.82%)
4,5.31,S1,3,1003,0.217,0.21580361178819096,8,TRIGGER_ADAPTATION,SCALE_UP,6,32,15.060566579177623,0.20221781209637008,8,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (15.1% >= 0.82%)
8,10.62,S1,3,1003,0.2219,0.21611696502136885,10,TRIGGER_ADAPTATION,SCALE_UP,8,32,5.141952959358801,0.227268361364461,10,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (5.1% >= 0.82%)
12,15.93,S1,3,1003,0.2087,0.20106294167353073,12,TRIGGER_ADAPTATION,SCALE_UP,10,32,8.184277834117628,0.2304397891675445,12,32,1.25,High complexity (WCI=0.21 >= 0.65) or CPU saturation (8.2% >= 0.82%)
16,21.24,S1,3,1003,0.2187,0.20239343301884088,14,TRIGGER_ADAPTATION,SCALE_UP,12,32,7.6474009687113735,0.24829649416197125,14,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (7.6% >= 0.82%)
20,26.55,S1,3,1003,0.2197,0.26489882632096234,16,TRIGGER_ADAPTATION,SCALE_UP,14,32,5,0.13520284341582633,16,32,1.25,High complexity (WCI=0.22 >= 0.65) or CPU saturation (5.0% >= 0.82%)
0,0,S1,4,1004,0.1891,0.17925463547423978,6,TRIGGER_ADAPTATION,SCALE_UP,4,32,9.920686650418718,0.2045576465262515,6,32,1.25,High complexity (WCI=0.19 >= 0.65) or CPU saturation (9.9% >= 0.82%)
4,5.31,S1,4,1004,0.1921,0.2206141902309872,8,TRIGGER_ADAPTATION,SCALE_UP,6,32,9.874249698087116,0.09364149529490833,8,32,1.25,High complexity (WCI=0.19 >= 0.65) or CPU saturation (9.9% >= 0.82%)
8,10.62,S1,4,1004,0.1916,0.21045191292990392,10,TRIGGER_ADAPTATION,SCALE_UP,8,32,5,0.15680260098031604,10,32,1.25,High complexity (WCI=0.19 >= 0.65) or CPU saturation (5.0% >= 0.82%)
12,15.93,S1,4,1004,0.1994,0.23800747843802605,12,TRIGGER_ADAPTATION,SCALE_UP,10,32,5.030581231914353,0.12865690621317755,12,32,1.25,High complexity (WCI=0.20 >= 0.65) or CPU saturation (5.0% >= 0.82%)
