scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S1,BASELINE,1,1001,0,59,59,1505,14.23,6.82,20.7,3.49,11.64,10.92,12.27,0.28,236,637.7119,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,1,1001,0,60.485,60.485,1505,28.52,15.41,40.16,5.98,11.64,10.92,12.27,0.28,118,1275.4237,1.485,1,,,,0.45,0.35,0.2,4
S1,BASELINE,2,1002,0,61,61,1525,14.16,5.43,21.59,3.74,11.64,10.87,12.25,0.29,244,625,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,2,1002,0,62.515,62.515,1525,28.32,11,41.07,6.68,11.64,10.87,12.25,0.29,122,1250,1.515,1,,,,0.45,0.35,0.2,4
S1,BASELINE,3,1003,0,62,62,1519,14.25,7.29,23.42,3.71,11.6,10.95,12.52,0.28,248,612.5,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,3,1003,0,63.53,63.53,1519,27.98,15.88,43.47,6.57,11.6,10.95,12.52,0.28,124,1225,1.53,1,,,,0.45,0.35,0.2,4
S1,BASELINE,4,1004,0,62,62,1503,13.86,6.72,21.57,3.27,11.62,10.99,12.4,0.29,248,606.0484,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,4,1004,0,63.53,63.53,1503,27.57,9.92,40.69,6.13,11.62,10.99,12.4,0.29,124,1212.0968,1.53,1,,,,0.45,0.35,0.2,4
S1,BASELINE,5,1005,0,61,61,1522,14.73,6.69,22.36,3.68,11.67,11.12,12.6,0.32,244,623.7705,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,5,1005,0,62.515,62.515,1522,28.81,12.89,43.13,6.39,11.67,11.12,12.6,0.32,122,1247.541,1.515,1,,,,0.45,0.35,0.2,4
S1,BASELINE,6,1006,0,60,60,1505,14.73,8.91,23.9,3.05,11.6,10.9,12.14,0.29,240,627.0833,0,0,,,,0.45,0.35,0.2,4
