scenario_id,system_type,sample_size,metric_name,mean,median,std_dev,min,max,ci_95_low,ci_95_high
S1,BASELINE,30,Execution Time (s),60.5667,60.5,1.8696,58,64,59.8686,61.2648
S1,BASELINE,30,CPU Utilization (%),14.3333,14.375,0.5655,12.93,15.55,14.1222,14.5445
S1,BASELINE,30,Memory Utilization (%),11.6193,11.61,0.04,11.52,11.69,11.6044,11.6343
S1,BASELINE,30,Efficiency (Tasks/Core-Sec),624.7263,626.0417,19.7156,588.6719,656.8966,617.3645,632.0882
S1,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S1,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S1,SAMCS,30,Execution Time (s),62.0752,62.0075,1.8976,59.47,65.56,61.3666,62.7837
S1,SAMCS,30,CPU Utilization (%),28.4047,28.565,0.9715,26.44,30.16,28.0419,28.7674
S1,SAMCS,30,Memory Utilization (%),11.6193,11.61,0.04,11.52,11.69,11.6044,11.6343
S1,SAMCS,30,Efficiency (Tasks/Core-Sec),1249.4527,1252.0833,39.4312,1177.3438,1313.7931,1234.729,1264.1763
S1,SAMCS,30,Adaptation Overhead (s),1.5085,1.5075,0.028,1.47,1.56,1.498,1.519
S1,SAMCS,30,Adaptation Events Count,1,1,0,1,1,1,1
S2,BASELINE,30,Execution Time (s),60.5333,61,0.9371,59,62,60.1834,60.8832
S2,BASELINE,30,CPU Utilization (%),42.8483,42.855,0.6794,41.54,44.68,42.5946,43.102
S2,BASELINE,30,Memory Utilization (%),19.553,19.55,0.035,19.5,19.64,19.5399,19.5661
S2,BASELINE,30,Efficiency (Tasks/Core-Sec),1873.6428,1871.1065,26.4935,1822.5806,1923.3051,1863.7501,1883.5355
S2,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S2,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S2,SAMCS,30,Execution Time (s),69.5413,70.015,0.9512,67.985,71.03,69.1862,69.8965
S2,SAMCS,30,CPU Utilization (%),14.2773,14.185,0.4743,13.64,15.7,14.1002,14.4544
S2,SAMCS,30,Memory Utilization (%),19.553,19.55,0.035,19.5,19.64,19.5399,19.5661
S2,SAMCS,30,Efficiency (Tasks/Core-Sec),536.7757,536.0119,10.5147,518.3486,565.125,532.8495,540.7019
S2,SAMCS,30,Adaptation Overhead (s),9.008,9.015,0.0141,8.985,9.03,9.0028,9.0132
S2,SAMCS,30,Adaptation Events Count,8,8,0,8,8,8,8
S3,BASELINE,30,Execution Time (s),80.4,80,0.9685,79,83,80.0384,80.7616
S3,BASELINE,30,CPU Utilization (%),28.7067,28.72,0.3323,27.94,29.28,28.5826,28.8307
S3,BASELINE,30,Memory Utilization (%),15.5433,15.54,0.0687,15.43,15.68,15.5177,15.569
S3,BASELINE,30,Efficiency (Tasks/Core-Sec),1255.4479,1255,12.9924,1228.6145,1282.2785,1250.5966,1260.2993
S3,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S3,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S3,SAMCS,30,Execution Time (s),89.7893,89.3,1.1222,88.285,93.595,89.3703,90.2084
S3,SAMCS,30,CPU Utilization (%),38.081,38.31,2.0335,28.34,39.92,37.3217,38.8403
S3,SAMCS,30,Memory Utilization (%),15.5453,15.545,0.0683,15.43,15.68,15.5198,15.5708
S3,SAMCS,30,Efficiency (Tasks/Core-Sec),1295.1137,1313.1235,73.5363,1021.8593,1397.2414,1267.6552,1322.5722
S3,SAMCS,30,Adaptation Overhead (s),9.3893,9.3,0.3219,9.285,10.595,9.2691,9.5095
S3,SAMCS,30,Adaptation Events Count,7.0667,7,0.2537,7,8,6.9719,7.1614
