scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S1,BASELINE,1,1001,0,59,59,1505,14.23,6.82,20.7,3.49,11.64,10.92,12.27,0.28,236,637.7119,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,1,1001,0,67.385,67.385,1505,5.99,5,20.7,2.45,11.64,10.92,12.27,0.28,824,182.6456,8.385,6,,,,0.45,0.35,0.2,4
S1,BASELINE,2,1002,0,61,61,1525,14.16,5.43,21.59,3.74,11.64,10.87,12.25,0.29,244,625,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,2,1002,0,69.415,69.415,1525,6.11,5,15,2.24,11.64,10.87,12.25,0.29,856,178.1542,8.415,6,,,,0.45,0.35,0.2,4
S1,BASELINE,3,1003,0,62,62,1519,14.25,7.29,23.42,3.71,11.6,10.95,12.52,0.28,248,612.5,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,3,1003,0,70.43,70.43,1519,6.1,5,18.19,2.37,11.6,10.95,12.52,0.28,872,174.1972,8.43,6,,,,0.45,0.35,0.2,4
S1,BASELINE,4,1004,0,62,62,1503,13.86,6.72,21.57,3.27,11.62,10.99,12.4,0.29,248,606.0484,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,4,1004,0,70.43,70.43,1503,5.78,5,11.64,1.54,11.62,10.99,12.4,0.29,872,172.3624,8.43,6,,,,0.45,0.35,0.2,4
S1,BASELINE,5,1005,0,61,61,1522,14.73,6.69,22.36,3.68,11.66,11.12,12.6,0.32,244,623.7705,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,5,1005,0,69.415,69.415,1522,6.15,5,16.06,1.99,11.66,11.12,12.6,0.32,856,177.8037,8.415,6,,,,0.45,0.35,0.2,4
S1,BASELINE,6,1006,0,60,60,1505,14.72,8.91,23.9,3.05,11.6,10.9,12.14,0.29,240,627.0833,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,6,1006,0,68.4,68.4,1505,6.25,5,15.42,2.14,11.6,10.9,12.14,0.29,840,179.1667,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,7,1007,0,63,63,1504,13.27,6.17,24.28,3.79,11.61,11,12.51,0.31,252,596.8254,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,7,1007,0,71.445,71.445,1504,5.78,5,10.71,1.55,11.61,11,12.51,0.31,888,169.3694,8.445,6,,,,0.45,0.35,0.2,4
S1,BASELINE,8,1008,0,62,62,1500,13.92,7.37,21.21,3.12,11.68,11.08,12.26,0.28,248,604.8387,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,8,1008,0,70.43,70.43,1500,5.88,5,17.9,2.12,11.68,11.08,12.26,0.28,872,172.0183,8.43,6,,,,0.45,0.35,0.2,4
S1,BASELINE,9,1009,0,58,58,1513,14.99,9.57,21.77,2.89,11.69,10.87,12.52,0.32,232,652.1552,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,9,1009,0,66.37,66.37,1513,6,5,15.7,1.97,11.69,10.87,12.52,0.32,808,187.2525,8.37,6,,,,0.45,0.35,0.2,4
S1,BASELINE,10,1010,0,64,64,1523,13.73,7.12,21.39,3.56,11.6,10.88,12.29,0.28,256,594.9219,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,10,1010,0,72.46,72.46,1523,5.73,5,15.38,1.6,11.6,10.88,12.29,0.28,904,168.4735,8.46,6,,,,0.45,0.35,0.2,4
S1,BASELINE,11,1011,0,60,60,1510,14.46,7.56,21.93,3.18,11.64,10.99,12.22,0.28,240,629.1667,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,11,1011,0,68.4,68.4,1510,5.94,5,11.43,1.73,11.64,10.99,12.22,0.28,840,179.7619,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,12,1012,0,59,59,1521,15.09,7.5,24.81,3.71,11.64,11.07,12.27,0.32,236,644.4915,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,12,1012,0,67.385,67.385,1521,6.14,5,13.03,1.9,11.64,11.07,12.27,0.32,824,184.5874,8.385,6,,,,0.45,0.35,0.2,4
S1,BASELINE,13,1013,0,61,61,1504,14.34,6.26,22.99,3.43,11.65,10.95,12.2,0.29,244,616.3934,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,13,1013,0,69.415,69.415,1504,6.11,5,12.1,1.79,11.65,10.95,12.2,0.29,856,175.7009,8.415,6,,,,0.45,0.35,0.2,4
S1,BASELINE,14,1014,0,60,60,1532,14.6,8.06,21.45,3.13,11.6,10.82,12.25,0.31,240,638.3333,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,14,1014,0,68.4,68.4,1532,6.12,5,14.25,1.97,11.6,10.82,12.25,0.31,840,182.381,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,15,1015,0,60,60,1513,14.41,8.58,24.55,3.49,11.61,10.84,12.53,0.34,240,630.4167,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,15,1015,0,68.4,68.4,1513,5.88,5,11.7,1.58,11.61,10.84,12.53,0.34,840,180.119,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,16,1016,0,62,62,1507,14.14,6.13,23.6,3.83,11.64,11.07,12.43,0.31,248,607.6613,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,16,1016,0,70.43,70.43,1507,6.05,5,14.62,1.92,11.64,11.07,12.43,0.31,872,172.8211,8.43,6,,,,0.45,0.35,0.2,4
S1,BASELINE,17,1017,0,63,63,1510,12.93,6.69,22,3.33,11.57,10.79,12.18,0.28,252,599.2063,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,17,1017,0,71.445,71.445,1510,5.78,5,12.55,1.81,11.57,10.79,12.18,0.28,888,170.045,8.445,6,,,,0.45,0.35,0.2,4
S1,BASELINE,18,1018,0,59,59,1513,14.54,5.51,21.36,3.53,11.55,10.77,12.24,0.35,236,641.1017,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,18,1018,0,67.385,67.385,1513,6.04,5,21.36,2.7,11.55,10.77,12.24,0.35,824,183.6165,8.385,6,,,,0.45,0.35,0.2,4
S1,BASELINE,19,1019,0,58,58,1524,14.69,6.2,21.99,3.51,11.6,10.97,12.81,0.33,232,656.8966,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,19,1019,0,66.37,66.37,1524,5.74,5,14.35,1.55,11.6,10.97,12.81,0.33,808,188.6139,8.37,6,,,,0.45,0.35,0.2,4
S1,BASELINE,20,1020,0,64,64,1507,13.2,5,21.85,3.52,11.6,10.74,12.55,0.31,256,588.6719,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,20,1020,0,72.46,72.46,1507,5.74,5,12.69,1.65,11.6,10.74,12.55,0.31,904,166.7035,8.46,6,,,,0.45,0.35,0.2,4
S1,BASELINE,21,1021,0,62,62,1504,14.12,6.69,24.28,3.65,11.52,10.66,12.3,0.3,248,606.4516,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,21,1021,0,70.43,70.43,1504,5.98,5,14.9,1.94,11.52,10.66,12.3,0.3,872,172.4771,8.43,6,,,,0.45,0.35,0.2,4
S1,BASELINE,22,1022,0,61,61,1514,14.13,5.87,20.33,3.24,11.62,11,12.25,0.28,244,620.4918,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,22,1022,0,69.415,69.415,1514,6.09,5,16.61,2.19,11.62,11,12.25,0.28,856,176.8692,8.415,6,,,,0.45,0.35,0.2,4
S1,BASELINE,23,1023,0,60,60,1515,14.48,6.98,26.18,3.28,11.58,11.06,12.28,0.31,240,631.25,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,23,1023,0,68.4,68.4,1515,6.01,5,18.41,2.22,11.58,11.06,12.28,0.31,840,180.3571,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,24,1024,0,63,63,1510,14.36,5,23.63,3.34,11.61,10.92,12.15,0.29,252,599.2063,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,24,1024,0,71.445,71.445,1510,6.05,5,12.46,1.91,11.61,10.92,12.15,0.29,888,170.045,8.445,6,,,,0.45,0.35,0.2,4
S1,BASELINE,25,1025,0,58,58,1500,14.79,7.26,21.18,3.35,11.64,11.08,12.2,0.26,232,646.5517,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,25,1025,0,66.37,66.37,1500,6.09,5,19.23,2.25,11.64,11.08,12.2,0.26,808,185.6436,8.37,6,,,,0.45,0.35,0.2,4
S1,BASELINE,26,1026,0,58,58,1512,14.88,8.48,26.78,3.92,11.68,11.13,12.35,0.27,232,651.7241,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,26,1026,0,66.37,66.37,1512,6.25,5,12.71,2.15,11.68,11.13,12.35,0.27,808,187.1287,8.37,6,,,,0.45,0.35,0.2,4
S1,BASELINE,27,1027,0,60,60,1523,14.39,6.16,21.8,3.65,11.69,10.67,12.51,0.35,240,634.5833,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,27,1027,0,68.4,68.4,1523,5.93,5,13.69,1.63,11.69,10.67,12.51,0.35,840,181.3095,8.4,6,,,,0.45,0.35,0.2,4
S1,BASELINE,28,1028,0,61,61,1514,14.14,5.73,24.56,3.53,11.59,10.68,12.29,0.35,244,620.4918,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,28,1028,0,69.415,69.415,1514,5.92,5,16.5,2.11,11.59,10.68,12.29,0.35,856,176.8692,8.415,6,,,,0.45,0.35,0.2,4
S1,BASELINE,29,1029,0,58,58,1502,15.55,9.85,23.66,3.32,11.59,10.94,12.31,0.32,232,647.4138,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,29,1029,0,66.37,66.37,1502,6.5,5,15.46,2.55,11.59,10.94,12.31,0.32,808,185.8911,8.37,6,,,,0.45,0.35,0.2,4
