step,sim_time_sec,scenario_id,system_type,run_id,random_seed,arrival_rate,queue_length,completed_tasks,active_cores,batch_size,cw_computational_intensity,dw_data_volume_intensity,vr_utilization_variability,wci_index,cpu_utilization_pct,memory_utilization_pct,throughput_tasks_sec,step_overhead_sec,cumulative_overhead_sec
0,0,S1,BASELINE,1,1001,33,0,33,4,32,0.1903,0.1992,0.2606,0.2075,20.7,11.48,33,0,0
1,1,S1,BASELINE,1,1001,19,0,52,4,32,0.1876,0.2164,0.1911,0.1984,10.4,11.76,19,0,0
2,2,S1,BASELINE,1,1001,29,0,81,4,32,0.2001,0.2159,0.2983,0.2253,18,11.65,29,0,0
3,3,S1,BASELINE,1,1001,24,0,105,4,32,0.2061,0.2189,0.1176,0.1929,13.23,11.62,24,0,0
4,4,S1,BASELINE,1,1001,25,0,130,4,32,0.1968,0.2135,0.1582,0.1949,13.65,11.59,25,0,0
5,5,S1,BASELINE,1,1001,28,0,158,4,32,0.2514,0.2105,0.2812,0.2431,13.08,11.56,28,0,0
6,6,S1,BASELINE,1,1001,31,0,189,4,32,0.1925,0.2208,0.1903,0.202,15.26,11.89,31,0,0
7,7,S1,BASELINE,1,1001,31,0,220,4,32,0.1341,0.2099,0.2452,0.1828,17.3,11.78,31,0,0
8,8,S1,BASELINE,1,1001,35,0,255,4,32,0.2257,0.1869,0.2073,0.2084,20.11,11.29,35,0,0
9,9,S1,BASELINE,1,1001,20,0,275,4,32,0.2307,0.1903,0.1879,0.208,11.22,11.23,20,0,0
10,10,S1,BASELINE,1,1001,22,0,297,4,32,0.209,0.2132,0.1573,0.2001,10.18,11.53,22,0,0
11,11,S1,BASELINE,1,1001,25,0,322,4,32,0.2072,0.2267,0.2223,0.2171,11.74,11.66,25,0,0
12,12,S1,BASELINE,1,1001,24,0,346,4,32,0.2747,0.1843,0.1976,0.2277,16.07,11.51,24,0,0
13,13,S1,BASELINE,1,1001,23,0,369,4,32,0.2325,0.2079,0.1066,0.1987,13.92,11.56,23,0,0
14,14,S1,BASELINE,1,1001,28,0,397,4,32,0.1931,0.2254,0.1864,0.2031,19.04,11.85,28,0,0
15,15,S1,BASELINE,1,1001,27,0,424,4,32,0.248,0.203,0.1157,0.2058,16.37,11.58,27,0,0
16,16,S1,BASELINE,1,1001,20,0,444,4,32,0.2065,0.2033,0.2189,0.2078,9.26,11.53,20,0,0
17,17,S1,BASELINE,1,1001,25,0,469,4,32,0.2337,0.207,0.2044,0.2185,15.64,11.84,25,0,0
18,18,S1,BASELINE,1,1001,25,0,494,4,32,0.1949,0.2534,0.175,0.2114,15.11,12.27,25,0,0
19,19,S1,BASELINE,1,1001,31,0,525,4,32,0.2119,0.2174,0.2523,0.2219,18.52,11.57,31,0,0
20,20,S1,BASELINE,1,1001,26,0,551,4,32,0.2098,0.2245,0.2191,0.2168,14.47,11.77,26,0,0
21,21,S1,BASELINE,1,1001,18,0,569,4,32,0.2199,0.215,0.1758,0.2094,11.4,11.87,18,0,0
22,22,S1,BASELINE,1,1001,33,0,602,4,32,0.2015,0.2138,0.2602,0.2176,20.7,11.79,33,0,0
23,23,S1,BASELINE,1,1001,27,0,629,4,32,0.2191,0.2349,0.2728,0.2354,19.26,12.02,27,0,0
24,24,S1,BASELINE,1,1001,17,0,646,4,32,0.1725,0.1646,0.0967,0.1546,9.58,11.03,17,0,0
25,25,S1,BASELINE,1,1001,23,0,669,4,32,0.3015,0.2288,0.1592,0.2476,12.17,11.93,23,0,0
26,26,S1,BASELINE,1,1001,26,0,695,4,32,0.2281,0.1766,0.2633,0.2172,14.55,11.15,26,0,0
27,27,S1,BASELINE,1,1001,27,0,722,4,32,0.1719,0.183,0.1952,0.1805,13.93,11.15,27,0,0
28,28,S1,BASELINE,1,1001,24,0,746,4,32,0.232,0.2211,0.252,0.2322,15.08,11.77,24,0,0
29,29,S1,BASELINE,1,1001,36,0,782,4,32,0.2623,0.1994,0.2162,0.2311,19.25,11.58,36,0,0
30,30,S1,BASELINE,1,1001,30,0,812,4,32,0.2581,0.2198,0.1454,0.2221,18.43,12.01,30,0,0
