scenario_id,system_type,sample_size,metric_name,mean,median,std_dev,min,max,ci_95_low,ci_95_high
S1,BASELINE,30,Execution Time (s),60.5667,60.5,1.8696,58,64,59.8686,61.2648
S1,BASELINE,30,CPU Utilization (%),14.3333,14.375,0.5651,12.93,15.55,14.1223,14.5443
S1,BASELINE,30,Memory Utilization (%),11.619,11.61,0.0396,11.52,11.69,11.6042,11.6338
S1,BASELINE,30,Efficiency (Tasks/Core-Sec),624.7263,626.0417,19.7156,588.6719,656.8966,617.3645,632.0882
S1,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S1,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S1,SAMCS,30,Execution Time (s),68.9752,68.9075,1.8976,66.37,72.46,68.2666,69.6837
S1,SAMCS,30,CPU Utilization (%),6.0067,6.025,0.1752,5.73,6.5,5.9413,6.0721
S1,SAMCS,30,Memory Utilization (%),11.619,11.61,0.0396,11.52,11.69,11.6042,11.6338
S1,SAMCS,30,Efficiency (Tasks/Core-Sec),178.3047,178.6604,6.3898,166.7035,188.6139,175.9188,180.6907
S1,SAMCS,30,Adaptation Overhead (s),8.4085,8.4075,0.028,8.37,8.46,8.398,8.419
S1,SAMCS,30,Adaptation Events Count,6,6,0,6,6,6,6
S2,BASELINE,30,Execution Time (s),60.5333,61,0.9371,59,62,60.1834,60.8832
S2,BASELINE,30,CPU Utilization (%),42.8483,42.855,0.6795,41.54,44.68,42.5946,43.1021
S2,BASELINE,30,Memory Utilization (%),19.5537,19.55,0.035,19.5,19.64,19.5406,19.5667
S2,BASELINE,30,Efficiency (Tasks/Core-Sec),1873.6428,1871.1065,26.4935,1822.5806,1923.3051,1863.7501,1883.5355
S2,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S2,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S2,SAMCS,30,Execution Time (s),69.5413,70.015,0.9512,67.985,71.03,69.1862,69.8965
S2,SAMCS,30,CPU Utilization (%),14.1957,14.17,0.376,13.58,15.36,14.0553,14.336
S2,SAMCS,30,Memory Utilization (%),19.5537,19.55,0.035,19.5,19.64,19.5406,19.5667
S2,SAMCS,30,Efficiency (Tasks/Core-Sec),534.689,533.3528,8.6909,518.3486,550.8495,531.4438,537.9342
S2,SAMCS,30,Adaptation Overhead (s),9.008,9.015,0.0141,8.985,9.03,9.0028,9.0132
S2,SAMCS,30,Adaptation Events Count,8,8,0,8,8,8,8
S3,BASELINE,30,Execution Time (s),80.4,80,0.9685,79,83,80.0384,80.7616
S3,BASELINE,30,CPU Utilization (%),28.7073,28.72,0.3329,27.94,29.28,28.583,28.8317
S3,BASELINE,30,Memory Utilization (%),15.5433,15.54,0.0687,15.43,15.68,15.5177,15.569
S3,BASELINE,30,Efficiency (Tasks/Core-Sec),1255.4479,1255,12.9924,1228.6145,1282.2785,1250.5966,1260.2993
S3,BASELINE,30,Adaptation Overhead (s),0,0,0,0,0,0,0
S3,BASELINE,30,Adaptation Events Count,0,0,0,0,0,0,0
S3,SAMCS,30,Execution Time (s),89.706,89.3,0.983,88.285,92.345,89.3389,90.0731
S3,SAMCS,30,CPU Utilization (%),8.5187,8.475,0.2409,8.08,9.03,8.4287,8.6086
S3,SAMCS,30,Memory Utilization (%),15.5433,15.54,0.0687,15.43,15.68,15.5177,15.569
S3,SAMCS,30,Efficiency (Tasks/Core-Sec),346.1612,346.1902,3.9306,337.6656,354.1958,344.6935,347.6289
S3,SAMCS,30,Adaptation Overhead (s),9.306,9.3,0.0145,9.285,9.345,9.3006,9.3114
S3,SAMCS,30,Adaptation Events Count,8,8,0,8,8,8,8
